Park Name,State,Crowding Rank,Visits / Acre,Review Rank,1-5 Review,Weather Rank,Desireable Weather (mo.),Affordability Rank,Nightly Avg Lodging,Accessibility Rank,Dist To Airport (mi),Dist To City (mi),Dist To Airport (km),Dist To City (km),Biodiversity Rank,Num of Species
Mammoth Cave,Kentucky,49,12.28,46,4.57,14,9,5,152,16,87.4,99.1,140.66,159.49,10,1987
Mesa Verde ,Colorado,45,9.52,34,4.6,33,6,6,154,34,49,248,78.86,399.12,45,1113
Mount Rainier,Washington,39,6.86,1,4.97,47,4,44,350,13,76,76,122.31,122.31,40,1218
New River Gorge,West Virginia,62,226.97,9,4.93,23,7,35,277,27,46,218,74.03,350.84,5,2776
North Cascades,Washington,7,0.06,9,4.93,38,5,28,241,18,76.3,119,122.79,191.51,3,3328
Olympic,Washington,24,2.64,34,4.6,33,6,58,491,17,93.4,93.4,150.31,150.31,20,1721
Petrified Forest,Arizona,21,2.28,46,4.57,23,7,20,200,36,113,196,181.86,315.43,61,771
Pinnacles,California,48,10.31,46,4.57,14,9,23,222,10,46.9,80,75.48,128.75,43,1187
Redwood ,California,28,3.3,9,4.93,23,7,29,244,42,27.4,322,44.1,518.21,22,1636
Rocky Mountain,Colorado,51,16.18,17,4.8,47,4,48,379,12,72.2,72.2,116.19,116.19,34,1372
Saguaro,Arizona,47,9.78,34,4.6,1,12,51,405,8,15.4,100,24.78,160.93,25,1574
Sequoia,California,25,2.85,19,4.77,10,10,16,187,28,78,191,125.53,307.38,8,2304
Shenandoah,Virginia,40,7.24,19,4.77,23,7,2,132,7,41.1,55.5,66.14,89.32,7,2563
Theodore Roosevelt,North Dakota,44,9.49,34,4.6,38,5,1,120,54,41.6,570,66.95,917.33,55,808
Virgin Islands,U.S. Virgin Islands,50,13.07,33,4.65,1,12,62,605,57,8.5,1,13.68,1.61,50,968
Voyageurs,Minnesota,15,1.01,34,4.6,38,5,7,157,45,89.9,282,144.68,453.84,32,1387
White Sands,New Mexico,36,4.82,19,4.77,21,8,12,168,37,98.2,222,158.04,357.27,63,545
Wind Cave,South Dakota,52,17.88,59,4.37,38,5,9,160,48,47.8,340,76.93,547.18,48,994
Wrangell St Elias,Alaska,3,0.01,58,4.4,53,3,11,167,52,253,253,407.16,407.16,19,1725
Yellowstone,Wyoming,19,1.48,19,4.77,53,3,34,270,38,3,323,4.83,519.82,9,2088
Yosemite,California,35,4.81,34,4.6,33,6,55,456,21,64.4,151,103.64,243.01,11,1965
Zion,Utah,56,31.87,19,4.77,14,9,41,323,23,47.9,177,77.09,284.85,29,1438
